[05/10/2017 23:55:02]: HOTRAN salvo com sucesso em txt.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:02]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:12]: HOTRAN salvo com sucesso em txt.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:55:13]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:51]: HOTRAN salvo com sucesso em txt.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
